#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
  20600      2.72e+00    2.62e+00      1.64e-03    2.37e-03      9.53e-02    9.19e-02    8.1e-04
  20700      2.40e+00    2.43e+00      2.24e-02    2.36e-02      8.38e-02    8.51e-02    8.1e-04
  20800      2.54e+00    2.21e+00      1.54e-02    1.70e-02      8.90e-02    7.74e-02    8.1e-04
  20900      2.61e+00    2.77e+00      1.90e-02    1.91e-02      9.14e-02    9.70e-02    8.1e-04
  21000      2.68e+00    2.18e+00      3.18e-03    9.99e-04      9.39e-02    7.64e-02    8.1e-04
  21100      2.57e+00    2.52e+00      1.35e-02    1.39e-02      9.00e-02    8.82e-02    8.1e-04
  21200      2.31e+00    2.62e+00      2.65e-03    2.53e-03      8.09e-02    9.19e-02    8.1e-04
  21300      2.57e+00    2.46e+00      3.45e-02    3.44e-02      8.97e-02    8.59e-02    8.1e-04
  21400      2.41e+00    2.50e+00      7.51e-03    8.06e-03      8.43e-02    8.76e-02    8.1e-04
  21500      2.56e+00    2.26e+00      1.76e-02    1.81e-02      8.96e-02    7.91e-02    8.1e-04
  21600      2.47e+00    2.48e+00      3.40e-03    5.03e-03      8.65e-02    8.70e-02    8.1e-04
  21700      2.60e+00    2.35e+00      5.04e-04    3.26e-04      9.11e-02    8.22e-02    8.1e-04
  21800      2.55e+00    2.25e+00      3.76e-03    2.31e-03      8.92e-02    7.88e-02    8.1e-04
  21900      2.31e+00    2.39e+00      5.15e-04    8.57e-04      8.08e-02    8.38e-02    8.1e-04
  22000      2.64e+00    2.77e+00      1.92e-02    1.77e-02      9.24e-02    9.69e-02    8.1e-04
  22100      2.66e+00    2.53e+00      1.28e-02    1.26e-02      9.31e-02    8.87e-02    8.1e-04
  22200      2.58e+00    2.63e+00      2.10e-03    6.57e-04      9.02e-02    9.22e-02    8.1e-04
  22300      2.48e+00    2.49e+00      3.79e-03    4.58e-03      8.70e-02    8.73e-02    8.1e-04
  22400      2.48e+00    2.51e+00      5.11e-03    3.68e-03      8.67e-02    8.80e-02    8.1e-04
  22500      2.32e+00    2.66e+00      1.45e-03    3.21e-04      8.12e-02    9.31e-02    8.1e-04
  22600      2.57e+00    2.51e+00      3.32e-02    3.25e-02      8.99e-02    8.76e-02    8.1e-04
  22700      2.41e+00    2.57e+00      1.43e-02    1.28e-02      8.43e-02    9.00e-02    8.1e-04
  22800      2.54e+00    2.10e+00      2.78e-03    1.56e-03      8.88e-02    7.37e-02    8.1e-04
  22900      2.48e+00    2.24e+00      2.40e-03    3.77e-03      8.70e-02    7.84e-02    8.1e-04
